,y_test,y_pred,code_module,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,total_n_days,avg_total_sum_clicks,year,semester,overall_total_clicks
27832,0,0,6,1,3,2,5,1,0,30,0,44,3.5815217391304346,2014,0,157.58695652173913
26432,1,1,5,1,8,0,7,0,0,90,0,32,4.045871559633028,2014,1,129.4678899082569
3164,1,1,1,1,10,2,0,0,0,60,1,32,2.131868131868132,2013,1,68.21978021978022
19042,0,0,4,1,7,0,3,1,0,90,0,90,4.457720588235294,2014,1,401.1948529411765
9896,1,0,2,1,5,1,9,1,0,90,0,46,2.1842105263157894,2014,1,100.47368421052632
13025,0,0,3,0,0,2,9,0,1,60,0,89,2.0826833073322932,2013,1,185.3588143525741
20336,1,1,5,0,1,2,9,0,0,120,0,7,2.3424657534246576,2013,0,16.397260273972602
10238,1,1,2,1,0,0,5,0,1,30,0,34,6.745762711864407,2014,1,229.3559322033898
28548,0,0,6,1,9,2,0,1,0,30,1,28,3.0144927536231885,2014,1,84.40579710144928
21812,0,0,5,1,9,0,7,0,0,60,0,78,3.931547619047619,2013,1,306.6607142857143
5075,0,0,1,0,12,2,0,1,0,60,0,75,2.225092250922509,2014,0,166.88191881918817
13884,1,1,3,1,1,2,1,0,0,120,0,3,2.3,2013,1,6.8999999999999995
5160,0,0,1,0,11,2,4,0,0,60,0,37,2.1077844311377247,2014,0,77.98802395209582
3964,0,0,1,0,12,0,9,0,0,120,0,58,3.6593059936908516,2013,1,212.2397476340694
9899,0,0,2,1,3,0,3,0,0,90,0,98,3.0132743362831858,2014,1,295.3008849557522
7258,0,0,1,1,2,0,9,0,0,60,0,38,2.55,2014,1,96.89999999999999
24295,1,0,5,1,10,1,3,1,0,60,0,71,6.946640316205533,2014,0,493.2114624505929
10655,1,1,2,1,9,0,1,0,0,120,0,22,5.7974683544303796,2014,1,127.54430379746834
2100,0,0,1,0,9,0,2,0,0,120,0,56,2.6358024691358026,2013,0,147.60493827160494
12705,1,1,3,0,8,1,6,0,0,180,0,10,1.5483870967741935,2013,1,15.483870967741936
977,1,1,1,0,3,0,1,0,0,60,1,2,1.8181818181818181,2013,0,3.6363636363636362
5560,0,0,1,0,4,2,5,1,1,60,0,76,4.0058910162002945,2014,1,304.4477172312224
12708,0,0,3,0,7,1,6,1,0,90,0,187,2.4738903394255876,2013,1,462.6174934725849
2604,1,1,1,0,5,2,2,0,0,60,0,8,1.5172413793103448,2013,1,12.137931034482758
13945,1,1,3,1,3,0,3,0,0,180,0,8,2.588235294117647,2013,1,20.705882352941178
18754,0,0,4,0,6,1,7,0,0,30,0,53,4.4375,2014,1,235.1875
11656,1,0,3,0,8,0,7,0,0,60,0,188,3.2896379525593007,2013,0,618.4519350811486
27708,1,1,6,0,11,2,1,1,0,30,0,6,1.7894736842105263,2013,1,10.736842105263158
10007,0,0,2,0,11,0,0,0,0,30,0,130,3.400450788880541,2014,1,442.0586025544703
26750,0,0,5,1,7,1,5,1,1,60,0,135,4.4492481203007515,2014,1,600.6484962406014
19291,1,1,4,0,11,1,2,1,0,90,0,10,2.342857142857143,2014,1,23.42857142857143
24353,1,1,5,1,9,2,0,0,0,120,0,17,2.8555555555555556,2014,0,48.544444444444444
4438,0,1,1,0,3,2,1,0,2,120,0,23,2.2628205128205128,2014,0,52.044871794871796
25156,0,0,5,0,8,0,9,0,1,60,0,92,5.503703703703704,2014,1,506.3407407407408
25669,0,1,5,1,1,1,4,0,0,60,0,37,4.630922693266833,2014,1,171.34413965087282
1712,1,0,1,0,5,0,0,0,0,60,0,41,2.6966666666666668,2013,0,110.56333333333333
5622,0,0,1,0,8,1,4,1,1,60,0,41,4.148936170212766,2014,1,170.1063829787234
11970,0,0,3,0,8,0,4,0,0,90,0,97,2.3819095477386933,2013,0,231.04522613065325
11277,1,1,2,1,7,1,5,1,0,60,0,32,2.581818181818182,2014,1,82.61818181818182
23263,1,1,5,1,11,0,1,1,1,120,0,16,2.839160839160839,2013,1,45.42657342657343
11287,1,0,2,0,11,1,2,1,0,30,0,42,4.718367346938775,2014,1,198.17142857142855
13509,0,1,3,1,6,0,8,0,0,120,0,30,1.9878048780487805,2013,1,59.63414634146341
14983,0,0,3,1,2,0,6,0,0,60,0,47,3.2757009345794392,2014,0,153.95794392523365
22835,1,1,5,1,6,2,6,0,0,60,0,2,2.4444444444444446,2013,1,4.888888888888889
13961,0,0,3,1,7,1,7,0,0,60,0,125,2.610051993067591,2013,1,326.25649913344887
21327,1,1,5,1,8,0,4,1,0,120,1,3,4.2727272727272725,2013,1,12.818181818181817
28235,0,0,6,1,8,0,9,0,0,30,0,79,4.066465256797583,2014,0,321.2507552870091
8456,1,1,2,1,3,3,0,0,0,120,0,13,2.4466019417475726,2014,0,31.805825242718445
16130,0,0,3,0,0,0,2,0,0,60,0,67,2.0547550432276656,2014,1,137.6685878962536
15158,1,1,3,1,6,0,2,0,0,60,0,22,2.9661016949152543,2014,0,65.2542372881356
10680,0,0,2,1,4,0,0,1,0,120,0,88,3.430962343096234,2014,1,301.9246861924686
19858,0,0,5,1,0,1,9,0,0,60,0,119,4.504032258064516,2013,0,535.9798387096774
15175,0,0,3,0,5,0,9,0,0,60,1,111,2.111111111111111,2014,0,234.33333333333334
9378,1,1,2,1,11,2,2,0,0,60,0,5,1.6,2014,1,8.0
238,1,1,0,1,11,0,7,1,0,60,0,24,2.823529411764706,2013,1,67.76470588235294
16170,0,0,3,0,0,1,7,0,0,60,0,117,2.051413881748072,2014,1,240.01542416452443
7313,0,1,1,0,0,0,1,0,1,60,0,24,3.1192660550458715,2014,1,74.86238532110092
27574,0,0,6,0,0,2,4,1,0,30,0,36,3.3497536945812807,2013,1,120.5911330049261
7049,0,1,1,0,0,2,6,0,0,60,0,28,2.008695652173913,2014,1,56.243478260869566
16453,1,1,3,1,4,2,0,0,0,60,0,25,2.4761904761904763,2014,1,61.904761904761905
10569,1,1,2,0,0,2,7,0,0,60,0,1,1.75,2014,1,1.75
3439,0,0,1,0,6,2,6,0,0,60,0,54,2.534090909090909,2013,1,136.8409090909091
13507,0,0,3,1,1,2,6,0,0,60,0,121,2.6643717728055076,2013,1,322.3889845094664
538,0,0,0,1,8,2,5,0,0,60,0,157,2.9974937343358397,2014,1,470.6065162907268
7667,1,1,2,0,10,1,8,0,0,120,0,14,2.63265306122449,2014,0,36.85714285714286
26742,1,1,5,0,1,2,7,1,0,60,1,29,4.317535545023697,2014,1,125.2085308056872
28558,0,0,6,0,0,2,9,0,0,30,0,52,3.5929203539823007,2014,1,186.83185840707964
12194,0,0,3,1,12,2,3,0,0,60,0,99,2.463076923076923,2013,0,243.84461538461537
8835,1,1,2,0,1,2,8,1,0,30,0,15,3.4,2014,0,51.0
18710,0,0,4,1,2,1,9,0,0,60,0,160,3.804741980474198,2014,1,608.7587168758718
9346,0,1,2,1,0,0,8,0,0,60,0,36,4.384615384615385,2014,1,157.84615384615387
3729,0,0,1,0,9,2,2,1,0,60,0,108,2.592511013215859,2013,1,279.9911894273128
6856,0,0,1,0,5,1,0,0,0,120,0,49,3.617283950617284,2014,1,177.2469135802469
4334,0,0,1,0,0,0,8,0,1,180,0,52,2.4901960784313726,2014,0,129.49019607843138
10519,1,1,2,1,3,1,0,1,0,60,1,32,3.760330578512397,2014,1,120.3305785123967
2647,1,0,1,0,11,0,5,1,0,60,0,36,3.759183673469388,2013,1,135.33061224489796
13643,0,0,3,0,8,0,6,1,0,70,0,73,3.2096069868995634,2013,1,234.30131004366814
2340,0,0,1,0,3,0,3,0,1,60,0,51,2.2133333333333334,2013,1,112.88
12378,0,0,3,0,9,1,7,1,0,60,0,79,1.7157057654075547,2013,0,135.54075546719682
22581,0,0,5,1,4,0,4,0,0,120,1,118,4.418447694038245,2013,1,521.376827896513
15823,1,0,3,1,12,0,6,1,0,60,0,82,3.269016697588126,2014,1,268.0593692022263
11898,1,1,3,1,6,0,1,1,1,120,1,45,2.3254237288135595,2013,0,104.64406779661017
14456,0,0,3,0,3,0,1,0,0,120,0,140,2.001831501831502,2014,0,280.2564102564103
27607,0,0,6,0,0,0,6,1,0,30,0,24,3.3383838383838382,2013,1,80.12121212121212
18448,1,1,4,0,7,0,4,0,0,120,0,11,3.0606060606060606,2014,0,33.666666666666664
7951,1,1,2,1,12,2,6,1,0,60,0,13,3.4727272727272727,2014,0,45.14545454545454
28158,0,0,6,0,0,1,2,1,0,30,0,33,3.9510869565217392,2014,0,130.3858695652174
